282061612, 152108048, 174126117, 153068088, 162544052, 215568650, 123624138, 112536846, 109735409, 110959300, 
347833152, 136876546, 159371001, 180778834, 201076956, 179377474, 116924381, 112473128, 110536798, 122446859, 
327006474, 165908256, 180576991, 196068495, 167286096, 190764966, 119193839, 126632550, 241906688, 117017178, 
290136215, 154862873, 163479717, 147729066, 147569131, 158951490, 146115172, 97388305, 98433445, 97097941, 
245183654, 123558282, 134413368, 124187761, 128476512, 144414467, 109297083, 96409021, 93571663, 96073327, 
251039687, 143558342, 140995526, 151466596, 114632685, 154010168, 107285917, 104951885, 105536890, 110540646, 
238908111, 116028914, 129080760, 126896828, 116261119, 151851894, 109144846, 93228272, 94008706, 92672346, 
249443754, 128779705, 144801050, 148105813, 113721395, 144681311, 106527292, 104708132, 104329676, 104773134, 
242325342, 124369933, 142246358, 140463548, 154853037, 163872286, 109837187, 105051096, 104529809, 103663848, 
245358984, 127821802, 143551500, 145000755, 131066697, 162242569, 107161474, 106610680, 106224954, 106105644, 
268709992, 120810300, 130351263, 132929048, 141000657, 128134404, 105175110, 106666273, 105372677, 117289153, 
239382358, 135511963, 150092605, 153202794, 112847309, 155290935, 108858757, 106125315, 107033184, 107142659, 
